127.0.0.1 - - [03/Jan/2020:14:07:15 +0800] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:07:16 +0800] "GET /Web1/Index.html HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:07:26 +0800] "GET /Web1/Index.html HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:10:50 +0800] "GET /Web1/Index.html HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:10:50 +0800] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:11:39 +0800] "GET /Web1/Index.html HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:11:40 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:11:41 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:11:42 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:12:02 +0800] "GET /Web1/Index.html HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:12:03 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:12:03 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:12:04 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:12:04 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:12:04 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:12:04 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:12:04 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:12:05 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:12:05 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:12:05 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:12:05 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:12:05 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:12:05 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:12:06 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:13:09 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:13:10 +0800] "GET /Web1/Index.html HTTP/1.1" 304 -
